,,,±ê×¼,ME,,
06/08/2018,1,08:57,46.958984,46.958507504456,4.76495543956901E-4,
06/08/2018,2,09:04,48.223419,48.2235329199936,-1.13919993644629E-4,
06/08/2018,3,09:10,49.493011,49.4933416925364,-3.30692536358868E-4,
06/08/2018,4,09:19,51.018745,51.0199091122448,-0.00116411224477986,
06/08/2018,5,09:25,52.30014,52.3006182329223,-4.78232922255017E-4,
06/08/2018,6,09:36,54.281193,54.2829928119393,-0.00179981193930701,
06/08/2018,7,09:49,56.843277,56.8452004245861,-0.00192342458613126,
06/08/2018,8,10:05,59.896278,59.8982695422973,-0.00199154229731136,
06/08/2018,9,10:08,60.306396,60.3088061397324,-0.00241013973238324,
06/08/2018,10,10:23,63.267834,63.2707955654861,-0.00296156548609616,
06/08/2018,11,10:29,64.478279,64.4813330589785,-0.00305405897846356,
06/08/2018,12,10:36,65.726036,65.7296273803077,-0.0035913803077392,
06/08/2018,13,10:45,67.532967,67.5366622418092,-0.00369524180919711,
06/08/2018,14,10:47,67.907661,67.9117093632444,-0.00404836324442215,
06/08/2018,15,10:55,69.374931,69.378566938888,-0.00363593888798164,
06/08/2018,16,11:01,70.588531,70.5923601543031,-0.00382915430311925,
06/08/2018,17,11:03,70.948814,70.9531889814315,-0.00437498143148218,
06/08/2018,18,11:12,72.54454,72.5486927599697,-0.00415275996972753,
06/08/2018,19,11:17,73.618561,73.6230216270224,-0.00446062702243921,
06/08/2018,20,11:19,73.998657,74.0035769553414,-0.00491995534143541,
06/08/2018,21,11:21,74.362877,74.3680615026577,-0.0051845026576558,
06/08/2018,22,11:25,75.031631,75.0364055634777,-0.00477456347773852,
06/08/2018,23,11:29,75.804886,75.8098375810163,-0.00495158101632853,
06/08/2018,24,11:38,77.491615,77.4972074183817,-0.0055924183817524,
06/08/2018,25,11:46,78.955673,78.9608102815586,-0.0051372815586177,
06/08/2018,26,11:50,79.788223,79.7939137295617,-0.00569072956172079,
06/08/2018,27,11:55,80.666817,80.6726885064286,-0.00587150642863321,
06/08/2018,28,11:59,81.404236,81.4099211162155,-0.00568511621554535,
06/08/2018,29,12:03,82.032265,82.0374557645629,-0.00519076456291145,
06/08/2018,30,23:35,81.64373,81.641830546066,0.00189945393402979,
06/08/2018,31,23:39,81.026718,81.0252938905527,0.00142410944725668,
06/08/2018,32,23:43,80.288559,80.2868514778282,0.00170752217177039,
06/08/2018,33,23:48,79.408684,79.4068519561381,0.00183204386192415,
06/08/2018,34,23:53,78.358131,78.3560413003098,0.00208969969020245,
06/08/2018,35,23:59,77.215439,77.2136121913896,0.00182680861043139,
07/08/2018,36,00:01,76.844894,76.8431548231531,0.00173917684689684,
07/08/2018,37,00:09,75.43129,75.4287619392524,0.00252806074759349,
07/08/2018,38,00:18,73.70916,73.7067838721966,0.00237612780335894,
07/08/2018,39,00:20,73.341827,73.3388232229201,0.00300377707992538,
07/08/2018,40,00:23,72.815918,72.8130717677645,0.00284623223548408,
07/08/2018,41,00:29,71.712433,71.7092788197843,0.00315418021573066,
07/08/2018,42,00:35,70.454674,70.4513009035582,0.00337309644176287,
07/08/2018,43,00:44,68.883972,68.8800714017701,0.0039005982298761,
07/08/2018,44,00:49,67.820999,67.8170753887356,0.00392361126435503,
07/08/2018,45,00:52,67.309334,67.3057859381176,0.00354806188244083,
07/08/2018,46,00:58,66.051003,66.0472872765491,0.00371572345085269,
07/08/2018,47,01:02,65.313644,65.309516150271,0.0041278497290449,
07/08/2018,48,01:15,62.908806,62.9042400611742,0.00456593882576328,
07/08/2018,49,01:21,61.662437,61.6571232121492,0.00531378785082381,
07/08/2018,50,01:30,59.948982,59.9434794551459,0.00550254485411017,
07/08/2018,51,01:43,57.470432,57.4651437474597,0.00528825254034615,
07/08/2018,52,01:59,54.438026,54.4318724702626,0.00615352973740357,
07/08/2018,53,02:02,53.928558,53.9219662362547,0.00659176374534098,
07/08/2018,54,02:19,50.848236,50.8409921102514,0.00724388974857249,
07/08/2018,55,02:25,49.558983,49.5516827987481,0.00730020125192965,
07/08/2018,56,02:34,48.061073,48.0541982062264,0.00687479377356937,
07/08/2018,57,02:40,46.786659,46.7788884220264,0.00777057797360214,
07/08/2018,58,02:49,45.312008,45.3042333400828,0.00777465991721726,
07/08/2018,59,02:57,43.87006,43.8624807040472,0.0075792959528016,
07/08/2018,60,03:04,42.620171,42.6119121144545,0.00825888554550147,
07/08/2018,61,03:10,41.395973,41.3873368053883,0.00863619461173215,
07/08/2018,62,03:19,39.987694,39.9795201248728,0.00817387512722689,
07/08/2018,63,03:25,38.802662,38.7939295655347,0.00873243446532967,
07/08/2018,64,03:34,37.442059,37.4334090557333,0.0086499442666863,
07/08/2018,65,03:40,36.301865,36.2932178156414,0.00864718435860112,
07/08/2018,66,03:49,35.001614,34.9921794260017,0.00943457399829128,
07/08/2018,67,03:58,33.457748,33.4485840282945,0.00916397170552585,
07/08/2018,68,04:05,32.479355,32.4698051981621,0.00954980183785636,
07/08/2018,69,04:14,31.114346,31.1050328790525,0.00931312094754233,
07/08/2018,70,04:19,30.546577,30.5370715046843,0.00950549531574296,
07/08/2018,71,04:34,28.605694,28.5955680398007,0.0101259601992538,
07/08/2018,72,04:40,27.791557,27.7816271716364,0.00992982836361378,
07/08/2018,73,04:49,26.910595,26.9010217956272,0.00957320437279918,
07/08/2018,74,04:58,25.958481,25.9490576463473,0.00942335365271418,
07/08/2018,75,05:05,25.409904,25.4006137643382,0.00929023566179765,
07/08/2018,76,05:14,24.734703,24.7251973547968,0.00950564520322317,
07/08/2018,77,05:19,24.490662,24.4809599427251,0.00970205727493578,
07/08/2018,78,05:40,23.721939,23.7127096128176,0.00922938718236566,
07/08/2018,79,05:49,23.663765,23.6553782553836,0.00838674461639144,
07/08/2018,80,05:58,23.779854,23.7716029732419,0.00825102675806022,
07/08/2018,81,06:05,23.961159,23.9533413846908,0.00781761530919667,
07/08/2018,82,06:14,24.372025,24.3643366307674,0.00768836923261773,
07/08/2018,83,06:19,24.598503,24.5918176137554,0.00668538624459103,
07/08/2018,84,06:34,25.677116,25.6708067332608,0.00630926673924037,
07/08/2018,85,06:40,26.297291,26.2915712276372,0.00571977236283772,
07/08/2018,86,06:49,27.108284,27.1024626208077,0.00582137919231585,
07/08/2018,87,06:58,28.216171,28.211672961641,0.00449803835897811,
07/08/2018,88,07:05,29.007751,29.0026913049491,0.00505969505094583,
07/08/2018,89,07:14,30.242584,30.238604103248,0.00397989675202126,
07/08/2018,90,07:19,30.800316,30.7963860372941,0.00392996270594281,
07/08/2018,91,07:34,32.971272,32.9677258781526,0.0035461218474353,
07/08/2018,92,07:40,34.024361,34.021286594234,0.00307440576597884,
07/08/2018,93,07:49,35.299038,35.2967490815841,0.00228891841591405,
07/08/2018,94,07:58,36.905231,36.9030276169519,0.00220338304808365,
07/08/2018,95,08:05,37.990372,37.9887239112084,0.00164808879162592,
07/08/2018,96,08:14,39.606319,39.6046449306584,0.00167406934156844,
